Time resolution is 1 ps
Time=0, HSync=x, VSync=x, R=000x, G=0000, B=0000
Time=1417755, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417805, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1417855, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1417905, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417955, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418005, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418055, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1418105, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418155, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418205, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1418255, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418305, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418355, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1418405, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418455, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418505, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1418555, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418605, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418655, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1418705, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418755, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418805, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1418855, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1418905, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1418955, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419005, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1419055, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1419105, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419155, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1419205, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1419255, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419305, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1419355, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1419405, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1419455, HSync=1, VSync=1, R=1111, G=0000, B=0000
